,ix,id,initial_input,content,correct,,
41,41,WAOY5EOB,"When an active stone of a particular shape interacts with an inactive square stone, the active (causal) stone will turn the subject (outcome) stone into a new shape with one additional side. This new shaped stone will have as many sides as the first active stone + 1 additional side. For example, when a 5-sided active stone interacts with a 4-sided square inactive stone, it will turn the second stone into a 6-sided stone. The active stone will not, however, cause the stone it interacts with to become active, it will only add an additional side to the subject stone and leave it in an inactive status. ",Incomplete,10,,
42,42,69NTML2V,the active stone changes the inactive stone to a pentagon and increases the shade 1 level. ,Incomplete,14,,
43,43,YNZKNJWA,"When the active stone hit the inactive stone, the inactive stone changes the color.",Fuzzy,0,,
44,44,HVL8NG9C,"Active stones that are pentagons or hexagons turn inactive stones a darker color and increase their amount of sides by one.  Active stones that are triangles only turn the inactive stone a darker color.
",Specific,3,,
45,45,CAWZT2VI,"In every case, the active stone (the one that was moving) changed the shape of the inactive stone to a pentagon shape. In terms of color, the inactive shape turned one shade of darker color from what it was after it was hit with the active stone. If the inactive shape was a dark blue color to begin with, it was changed to black.  If the inactive shape was a light blue, it turns to medium blue.  If the inactive shape was a medium blue, it turned to dark blue.",Incomplete,15,,
46,46,KRJR3NI7,"When a stone is tapped against the light square, a side is added and it is made a shade darker. If it is already dark, only one side is added and the shade remains the same. Example: light triangle becomes dark square.",Specific,6,,
47,47,9RK35PNZ,"An active triangle will cause a shape that hits it to become darker, but it will remain the same shape. An active hexagon will also cause a shape that hits it to become darker, but will also change it into a hexagon.",Incomplete,2,,
48,48,5HNY30YI,"When knocked together, they increase the amount of sides of the the active stone by one.  It will also cause the active shape to be one shade darker than the shape on the right if it already isn't that shade.",Specific,18,,
49,49,4OWSM3YG,"I noticed that whenever a lighter, inactive stone on the right hand side knocked into the active stone, the inactive stone turned a darker color. Lastly, I also noticed if the inactive stone is a triangle and the triangle hit against the active stone, the inactive stone turns into a five-sided stone that is one shade darker.",Incomplete,6,,
50,50,Z1K4CZ8H,"The active stone turns one shade darker and is forced to take five sides no matter what shape it is. If it already has five sides, it will just get one shade darker",Incomplete,17,,
51,51,NXA7FEK9,I think the mysterious stones work by changing the colour of the stone in a set of segments. From lighter to darker after initialization. Depending on the shade it moves up a tier to a different category of either shape of colour(shade). ,Fuzzy,2,,
52,52,X9M7B9NT,"Bluestone is the term used to refer to the smaller stones at Stonehenge. These are of varied geology but all came from the Preseli Hills in south-west Wales.
",meaningless,0,,
53,53,UM4OM7RZ,The shape in the before box the shapes have a distant. But in left hand side the images come closer and the shape been changed.,Fuzzy,1,,
54,54,IQUM9BN0,"When an inactive stone comes into contact with an active one the inactive one changes. The inactive one becomes darker, and it can also change shape in the case of it contacting an active stone that has more than 3 sides to the shape it is.",Incomplete,9,,
55,55,ME1NHQ8O,The inactive stone does not glow before the collision. The collision of the active stone with the inactive stone makes it glow. like increase the color intensity of the inactive stone,Fuzzy,4,,
56,56,7KBYPY1L,"In each of the six trials, a 'Stone A' (always an inactive, square, medium-blue stone) comes into contact with 'Stone B' (always inactive, but of various shapes and shades). This causes (1) Stone B to turn into a pentagon and (2) Stone B to darken by one shade.

Given the limited data (i.e. Stone A was always the same, and no active stones ever appeared), it is impossible to say for sure exactly which properties produce the effect (e.g. what if Stone A were a triangle?).",Specific,17,,
57,57,8DXY77T0,"I think when an active stone hits an inactive stone thee inactive stone is turned a deeper blue. Also, if the active stone is a hexagram or a pentagram, it turns the inactive stone into a hexagram.",Incomplete,5,,
58,58,K5GIEFBX,they make them a shade darker and change shape into a pentagon,Incomplete,8,,
59,59,DSULE403,its the rectangle goes to the stone of the octagon ,meaningless,1,,
60,60,A38D229J,The stone shape and color change or color change.,Fuzzy,5,,
61,61,YTHMK0RD,"When an active square stone bumps into an inactive stone, it will change into an active pentagon. If the inactive stone is a darker color than the active square, the active square will also change into a darker colored pentagon, and the final color will be one shade darker than the inactive stone.",Incomplete,10,,
62,62,XD8SAV5U,The active stones turn darker and gain one more side when they hit the other stone.,Specific,10,,
63,63,5JUSSSP7,"The stones can go into the active or inactive state depends upon the condition. When the stones are interacted with each other, the properties of the stones to change. Active states glow with a straight light.",meaningless,6,,
64,64,4E9BQ6ML,"When an active stone interact with the blue inactive square, its sides increase by one apart from the six sided stones. The stone colors also becomes more dense. Inactive stones are not affected by the interaction.",Specific,9,,
65,65,1UW5XVNY,The Shape icon move and come next to the square ,meaningless,2,,
66,66,BVP1Y7HV,my own guess.The work was good.,meaningless,3,,
67,67,SM7J4K48,"When the two stones collide and they are lighter, they make one of the stones darker.",Incomplete,5,,
68,68,O7WLKYBW,"If the stone that is moving interacts with a darker stone, It becomes an even more darker stone. If the stone that is moving moving is darker than the stone that it is going to collide with, it will stay the same color.",Fuzzy,5,,
69,69,H18NM7I5,"I believe that when the active stones that are squares hit any other stone regardless of color or shape, it will turn into a pentagon.",Fuzzy,4,,
70,70,RCWE4H1T,The active square will change another stone's shape to a pentagon and will darken the color by one shade.,Incomplete,16,,
71,71,3L41QDPR,"I believe the property that seems to matter the most is the amount of sides on the active before shape. The triangles turned into squares, but shapes with more than three sides turned into hexagons.",Fuzzy,3,,
72,72,T5UFH6CH,when an active stone hits a square inactive stone it gains a side.,Incomplete,9,,
73,73,AB44V656,The square stone makes all other stones turn darker,Incomplete,4,,
74,74,JT2TWGZK,active squares when close to any inactive object except inactive square turns into an active pentagon,Fuzzy,15,,
75,75,NR05103T,"I think the active stones only change the shapes of non pentagons when the collide. When they collide with pentagons, the color changes to a darker shade, likely the next darkest color of the options used.

The active stones will always change the inactive color to a darker shade regardless of the shapes.",Incomplete,10,,
76,76,FBPLGF63,"When an inactive stone hits an active stone it changes to the dark color (regardless of whatever colors either stone had to start). Also, if the inactive stone had more sides than the active stone, then nothing else changes. But if the inactive stone had fewer sides than the active stone then it changes shape - to a shape that has one more side than the active stone does.",Fuzzy,10,,
77,77,WOBSXZOD,"So, the stones on the left (in each test) are already active because they are glowing around their edges. The stone (or stones?) on the right, are always inactive in each test. When the stones on the left (in each test) are brought together to interact with the stone on the right, they *continue* to remain active and glowing. The are two differences that occur after the interaction, though. When the stones hit, the left stone gains one more *side*. So, if a triangle interacts with the stone on the right, it gains one more side and becomes a square. Separately, it changes to be one shade darker as well. It takes on a shade from the inactive rock, but the inactive rock does not change in shape and it does not lose any of it's coloring -- visibly to the human eye that is.",Specific,8,,
78,78,4Z478076,The stones alter the shape of the stone when the shape has more than 3 sides. If the stone has 3 sides then it changes the color of the stone. ,Fuzzy,3,,
79,79,0HP2Q7JM,The light stone to touch another stone it can change to another stone like the pentagon or the hexagon touch the square stone to change at hexagon stone and other stay at same stone. ,Fuzzy,5,,
80,80,YTR7PELN,Based on the starting shade it transforms into a different shape every time it gets closed to the stone standing still.,Fuzzy,2,,
81,81,OLPTF42T,very great,meaningless,0,,
82,82,1XPLODJT,"When active hits inactive the shape changes, when it hits active both color and shape might change.",Fuzzy,4,,
83,83,LF1YSDE2,Active hexagons turn shapes into dark inactive hexagons. Active triangles turn shapes into dark inactive versions of their current shape.,Fuzzy,3,,
84,84,QAGLCBBP,An active square stone seems to change into a hexagon stone when interacting with any other shaped stone.  If also seems to increase it's brightness based on the stone it's interacting with.,Fuzzy,3,,
85,85,SMVFOKGD,The stones that have more then four sides to them and are active are able to change the physical shape of whatever stone that they hit into being the same as them. In contrast stones that have four sides or less can only change the color of whatever stone they hit when active so that they turn a darker shade.,Incomplete,3,,
86,86,SK8VE0ZD,An active stone touching an inactive stone will make the inactive stone turn a darker shade of blue,Incomplete,8,,
87,87,U0AYS341,"1. ACTIVE STONE PENTAGON AND INACTIVE STONE SQUARE ARE INTERACTED WITH EACH OTHER . IT CAUSE THE PROPERTIES OF THE STONE TO CHANGE  MEDIUM SQUARE TO DARK HEXAGON.

2. ACTIVE STONE HEXAGON AND INACTIVE STONE SQUARE ARE INTERACTED WITH EACH OTHER . IT CAUSE THE PROPERTIES OF THE STONE TO CHANGE MEDIUM SQUARE TO DARK HEPTAGON.

3. ACTIVE STONE HEXAGON AND INACTIVE STONE SQUARE ARE INTERACTED WITH EACH OTHER . IT CAUSE THE PROPERTIES OF THE STONE  CHANGE LIGHT SQUARE TO DARK HEPTAGON.

4. ACTIVE STONE TRIANGLE AND INACTIVE STONE SQUARE ARE INTERACTED WITH EACH OTHER . IT CAUSE THE PROPERTIES OF THE STONE CHANGE LIGHT SQUARE TO DARK SQUARE.

5. ACTIVE STONE PENTAGON AND INACTIVE STONE SQUARE ARE INTERACTED WITH EACH OTHER. IT CAUSE THE PROPERTIES OF THE STONEO CHANGE LIGHT SQUARE TO DARK HEXAGON.

6. ACTIVE STONE TRIANGLE AND INACTIVE STONE SQUARE ARE INTERACTED WITH EACH OTHER. IT CAUSE THE PEOPERTIES OF THE STONE CHANGE LIGHT SQUARE TO DARK SQUARE",Fuzzy,2,,
88,88,JUKUY9XO,The shape varies when the two stones are joined.,Fuzzy,0,,
89,89,EGEAHWIP,I FOLLOW RULES,meaningless,0,,
90,90,WT9R5OKW,"When an activated stone interacts with a non-active stone it causes a change depending on the shade of each shape and the specific shapes interacting.  If the object is a dark shade, the glowing object with darken a shade and change to from a sqaure to a pentagon.",Incomplete,5,,
91,91,ZGAEFSWM,"When an inactive stone collides with an active stone, it because a darker shade. Also, depending on the shape of the active stone, the inactive stone can also change shape from the collision.",Incomplete,7,,
92,92,J5N5BQ8B,An active square stone bumping into an inactive stone of any shape or color will alter the active stones shape into a hexagon and color into a darker shade than the inactive stone it bumped into.,Incomplete,10,,
93,93,FM3962XH,I think the number of side increases ( pentagon becomes hexagon after collision with a square) when two stones strike each other and the color also becomes bright.,Fuzzy,9,,
94,94,QIKOXSTY,"when the stone with greater side strikes the stone with lesser side ( when a pentagon strikes square , the square shaped stone becomes pentagon shaped) , the side of the stone increases resulting in change of its shape as well as the color.",,5,,
95,95,25YZCSB1,"If the square was paired with a hexagon, when they moved next to each other the hexagon would become a darker shade of blue. If the square was paired with another shape, the other shape would change into a hexagon when paired.",,3,,
96,96,VOVRDZ09,Shapes and the color of certain one might been a major part to predict and easy to guess.,,4,,
97,97,7U4CJV2T,Colors and shapes being a major role to predict correctly in the changes thus occur.,,2,,
98,98,N1VLQGWR,"The square hits the shape, if the shape is not shaded it turns darker once hit by the square, if it is a different shape than the previous shape it also changes shape and gets darker.",,6,,
99,99,5W6F3OH8,square stones turn into 6 sided stones no matter what they hit.The power of the stone increases when hit,,0,,
100,100,P1I5CLO9,"1. If active Square Stone hits Pentagon stone it changes its color. 
   Like in test 1: From medium to dark color
        in test 4: From light to medium color
        in test 5: From medium to dark color
        in test 6: From dark to very dark or black color

2. If active Square Stone hits Triangle stone it changes its shape also color. 
   Like in test 2: From dark triangle to pentagon very dark color
        in test 3: From light triangle to pentagon medium color
",,8,,
101,101,KTCEQAIG,An active triangle makes the inactive stone a shade darker and an active stone with more than 3 sides makes the stone darker and change shape,,9,,
102,102,IIZ3UYXS,"An active stone with five or more sides causes an inactive square to both darken, and to turn into a hexagon.  An active stone with three sides, however, will only cause an inactive square to darken.  I assume that the active state and the number of sides of an active stone are both key properties.",,7,,
103,103,QG085ALE,"It seems like the active stone will get a shade or two darker and then it will add a side. So if it starts as a triangle, the active stone will become a square. If it is a hexagon, it will be a seven-sided shape.",,10,,
104,104,ZK3T42KK,"If an active square interacts with any inactive shape, the inactive shape becomes an inactive pentagon that is one shade darker than the original inactive shape. ",,17,,
105,105,XYXP7RG5,"The active stone causes the inactives to change shades and shapes. It works in the following pattern:

If the inactive stone is different than a pentagon, it will convert into one and it will also change its shade to a darker one.
If the inactive stone is a pentagon, it will just change to a darker shade.",,13,,
106,106,3VWKSNI4,The before inactive stones always consist of a light square. The before inactive stones also consist of another inactive stone that is of random shape and of random color. The after inactive stones always consists of one light square (the same as the before inactive light square). The after inactive stone also always consists of a pentagon that is one shade darker than the random shape from the before inactive stones. ,,10,,
107,107,LV68VRL8,The square is active (it's lighter and the instructions said they glow with light when active) and inactivates (darkens) the other shapes when it touches them. The square also makes the other shapes revert to pentagons.,,10,,
108,108,PX4GEP40,"The stones have to be next to each other for them to become active. I think that those stones are drawn to each other naturally when they are close by. It seems like the square is the shape that moves near the other shape stones. So, the square is attracted to other shapes.",,2,,
109,109,KQXVX71C,The characteristics of the stone changes depends on the characteristics of the stone which is making contact with it,,4,,
110,110,2H8W26V2,it was moved to the shapes similar and active the shapes. there was similar shapes rearrange and make it dark shape,,0,,
111,111,80KBWCKG,The darkness of the color and the shape before and after they hit.,,3,,
112,112,95HMH3TO,"When an inactive square hits another inactive shape, it always turns that shape into a pentagon.  And the shape it hits increases one shade of blue.  So, when the inactive square hits an inactive light-blue triangle, the triangle turns into a MEDIUM-BLUE pentagon.",,11,,
113,113,8FR08PZ2,The active stone change the shape and thickness of the color of the inactive stone by interacting with each other. The power of the active stone changes the properties of the inactive stone.,,6,,
114,114,3YEA4G1K,The shades and sides of the stones are changing depends on the mysterious powers of the stone which are colliding with it.,,2,,
115,115,KLGXNAVN,The shades and sides of the stones are changing depends on the mysterious power of the stone which are colliding with it.,,4,,
116,116,OCOT9T7N,stones which have more edges are seems to be active compared to three edged stones,,0,,
117,117,P8K190LO,"From the patterns that were shown, I noticed:

- the first shape is always active
- the first shape always starts as a square
- the first shape always gets transformed from 4-points to 5-points
- the second shape never changes
- the second shape is always inactive


I couldn't figure out the exact rules which determine which color the active stone ends up as. From the samples, I noticed the active stone could either end up as the same shade, a shade 1 step darker, or a shade 2 steps darker.",,10,,
118,118,RVC6X3NC,"The active stone will darken the inactive stone, and will change it's polygonal structure to 1 side greater than the active stone so long as it is of a greater n than the inactive stone.",,8,,
119,119,QI6Y8TK1,"The active stones ALWAYS change the inactive stones to a darker shade of blue (like Royal Blue), upon contact, irrespective of the color of the active stone. If the inactive stone has a greater number of sides than the active stone, upon contact, the color changes as noted previously but the shape remains unchanged. If the inactive stone has a fewer number of sides than the active stone, upon contact, again, the color changes as previously noted and the shape changes to have a total number of sides to be one greater than the active stone. Example: Triangle (irrespective of color, 3 sides) active stone changes a square (irrespective of color, 4 sides) inactive stone to darker blue (unless already that color) and shape remains the same, since it already has one more total number sides than the active stone. Another example: Pentagon (irrespective of color, 5 sides) active stone changes a square (irrespective of color, 4 sides) inactive stone to darker blue (unless already that color) and changes the shape to a hexagon (6 sides), so that the inactive stone has one more total number sides than the active stone.",,10,,
120,120,KRDJ8EMY,after two stones demolition the lite blue changed to dark blue,,3,,
121,121,F26TNJ1K,The shape and the state of the stone,,7,,
122,122,TTP22JQV,"If any of the stone hit triangle stone is inactive.it cannot create mysterious stone
If any of the stone hit other than triangle stone is active.its create mysterious stone.",,5,,
123,123,OHA827HT,"active stone changes the color of the inactive stone to dark blue, as well as increasing the number of sides on the inactive stone as long as the active stone has at least more sides than the inactive one initially

so an active stone with 6 sides will change a stone with 4 sides to a stone with 7 sides, while a stone with 3 sides won't change the sides to a stone that has 4 sides",,6,,
124,124,OIQAUADC,"Archaeology is the study of the human past using material remains. These remains can be any objects that people created, modified, or used.",,1,,
125,125,CNATHGXE,The light color or dark color is same result to join the pentagon. ,,2,,
126,126,OYY7BH30,"When an active stone touches an inactive stone, the inactive stone becomes darker, and in most cases it's shape also changes. If it's shape has less than 5 sides it gains more sides, if it's shape has more than 5 sides it loses sides. If it has five sides, only it's color gets darker and the shape stays the same.",,10,,
127,127,G1DWOVQ5,"The active stone gains one side after the collision. The shade of the active stone changes by a number of shades based on the shade of the inactive stone. If the inactive stone is light, the active stone's shade will not change.  If the inactive stone's shade is medium, the active stone's shade will darken by 1 shade.  If the inactive stone's shade is dark, the active stone's shade will darken by 2 shades. If the inactive stone's shade is very dark, the active stone's shade will darken by 3 shades.  The shape of the inactive stone does not effect anything else.  The inactive stone does not change.",,10,,
128,128,AK0P33QQ,"The active stone move towards the inactive stone, than it change into another shape. This change is does not depends upon the shades of the stones. It depends upon the shape of the active stone. For example, If three side stone like in triangle shape active stone is change into a four side active stone like in square shape.",,11,,
129,129,XPBW8DDP,no,,0,,
130,130,0O3YTJ59,It adds another angle to the shape of the stone that is in the active state and changes the color to a darker color.,,10,,
131,131,OHQ6M152,An active triangle makes inactive stones one shade darker. An active pentagon makes inactive stones one shade darker and adds 2 sides. An active hexagon makes inactive stones one shade darker and adds 3 sides. The inactive stone has no affect on the active stone.,,11,,
132,132,6D3VY1IY,It turns them darker.,,2,,
133,133,DMLJ0A3S,i don't no ,,2,,
134,134,A3CUHYUH,"When a five-sided stone comes in contact with the inactive stone, the inactive stone becomes active with six or more sides.
But when a three-sided stone comes in contact with the inactive stone, the inactive stone becomes active but maintains its original four sides.",,4,,
135,135,CSSB3S0H,8,,1,,
136,136,H7VIQPS6,"The two shapes are  merged together which results to a different shape, also the color becomes deeper. like for instance square and triangle resulted to pentagon with a deeper shade of color.",,2,,
137,137,ID1M3UH8,The square turns the other shape into a darker pentagon.,,7,,
138,138,63WL7BZV,"Any inactive stone hit by an inactive square, will turn into an inactive pentagon 1 shade darker.",,10,,
139,139,NP6RTEFR,"When the inactive stone bumps into the active stone, it will change into a pentagon shape. If the color was not the already the same as the active stone then the color will change to match the active stone's color. If the color was already the same as the active stone then the color will change to a darker color.",,8,,
140,140,B3FPTYIC,"Whenever an inactive stone comes in contact with an active stone, the inactive stone turns into a pentagon and becomes a shade darker than what it was originally.",,10,,
141,141,ANL2JIRJ,COLOR $ SHAPE CHANGEING PROPERTIES,,0,,
142,142,9J7UQKR7,Stone first come up light after modulated to pentagon and pentagon to dark ,,0,,
143,143,PA7CD7P7,Triangle changed to the hexagon,,2,,
144,144,ZZNHDA72,i follow the rules,,0,,
145,145,SC5A6YOJ,"The inactive stone makes the active stone a darker shade, it might also remove 1 side of the active stone shape.",,4,,
146,146,HVC8ATFR,Any stone that bumps an active medium blue square will turn to a hexagon one shade darker that it was before.,,9,,
147,147,NXMSBYRB,Stones are active and the properties are based on the color of the objects and it changes based on the active state,,2,,
148,148,RXPDRKZX,"When the inactive stone knocks against the active stone, it changes into a pentagon that is a hue darker than it's original hue. It doesn't matter what shape the inactive stone is because once it knocks with the active stone, it will either remain as a pentagon or turn into a pentagon. Then the color of the pentagon will change to a hue darker from its original shape. The color of the active stone is not important.",,16,,
